codigo_cliente;nome_cliente;idade_cliente;email_cliente
95;"Kai H. Rush";78;est.Nunc@et.ca
92;"Kamal X. Clark";38;Mauris.molestie@eget.org
59;"Knox Mueller";95;diam@sitamet.org
73;"Kyle H. Hays";84;feugiat.metus.sit@Classaptenttaciti.com
72;"Kylee I. Jacobs";64;fringilla@ultriciesligula.org
7;"Lars Hale";87;molestie@nonleo.ca
98;"Latifah Miller";56;non.hendrerit@Nunc.com
17;"Laura Stephens";43;vitae.diam@nec.edu
23;"Leila Shaffer";35;leo.elementum@tinciduntaliquamarcu.com
31;"Lester Peck";30;Curabitur.egestas@aodiosemper.ca
49;"Lila I. Bonner";23;eu.dolor@sem.co.uk
56;"Macon Salazar";51;quam.Pellentesque.habitant@nequevitaesemper.net
26;"Maggy H. Hatfield";47;facilisis.lorem@acfeugiat.net
48;"Maia D. Powers";63;imperdiet.dictum.magna@ac.ca
1;"Marcelo Fernandes";25;marcello.f@itau.com.br
5;"Mason Curtis";96;turpis.nec@rutrum.com
75;"Melyssa Kelley";29;libero@quamPellentesque.net
67;"Mohammad Caldwell";32;Donec@pedeNuncsed.net
65;"Nina Coffey";27;Nam.nulla@ut.org
81;"Nissim Jenkins";58;vulputate@interdumCurabiturdictum.co.uk
74;"Orla B. Brady";54;tincidunt.nunc.ac@elit.ca
41;"Patience V. Reed";48;mattis@natoque.co.uk
28;"Paul Poole";88;sed.orci@enimcommodohendrerit.ca
50;"Priscilla L. Heath";70;volutpat.Nulla.facilisis@euaugue.net
90;"Quemby Day";100;mi.lacinia.mattis@et.net
15;"Ray Y. Barber";53;risus@semegestasblandit.co.uk
9;"Raymond Keith";19;urna.suscipit.nonummy@non.ca
66;"Raymond Reyes";29;pede@ullamcorpermagna.net
63;"Regan Hardy";73;hendrerit.consectetuer.cursus@pedenonummy.com
71;"Remedios Peterson";25;semper.tellus@sapiengravidanon.org
4;"Renato Campos";22;renato.c@itau.com.br
100;"Rhiannon O. Macias";48;erat.semper.rutrum@enimnisl.org
33;"Ria G. Mcbride";78;pede.nonummy@enimNuncut.com
44;"Roary Dale";47;ultrices.iaculis@erosturpis.com
68;"Rosalyn Berry";58;odio@DonectinciduntDonec.edu
69;"Ruby Perry";77;placerat@loremauctorquis.edu
77;"Ryan Fisher";43;luctus.ipsum.leo@imperdietdictum.com
96;"Samantha D. Melendez";38;eu.dolor@feugiattellus.co.uk
30;"Scott Maddox";47;Donec.consectetuer@necorci.edu
103;"Scott Spence";78;ridiculus.mus.Proin@aliquet.co.uk
99;"Shelley J. Chase";79;tellus@purus.ca
87;"Sierra I. Craig";81;semper@a.org
13;"Sierra Mayo";18;eget.mollis@sitametdiam.ca
36;"Solomon S. Barnett";83;Etiam.bibendum.fermentum@Suspendissenon.net
57;"Stacey L. Knowles";74;Mauris.eu.turpis@semegestasblandit.com
64;"Talon I. Aguirre";24;Donec@etpede.ca
3;"Tiago Lopes Souza";18;tiago.l@itau.com.br
82;"Tobias Talley";45;eget.tincidunt@Morbi.ca
45;"Uta Elliott";56;sagittis@tempusnon.ca
10;"Victoria Pate";45;velit.in@infaucibus.co.uk
76;"Victoria Sweet";68;netus@diam.org
2;"William Moraes";20;william.m@itau.com.br
18;"Xantha W. Carey";37;Donec.elementum@pedeac.ca
34;"Xaviera F. Mullins";86;Phasellus.fermentum@semmolestie.org
6;"Yael Drake";55;turpis.nec.mauris@utquamvel.com
46;"Yardley Oneal";62;montes.nascetur@faucibus.org
70;"Yen H. Fulton";51;feugiat.Lorem.ipsum@Intincidunt.edu
39;"Yetta G. Campos";59;ac@pharetraNam.net
35;"Zenia Gallegos";41;nec.tempus.scelerisque@Praesent.edu
